0.6,4000,1.002106,1.459144,0.8514502,21.14094
0.4,2000,0.978973,1.411055,0.832547,20.68878
0.2,4000,0.9680235,1.42306,0.8285602,20.79281
0.6,3000,0.9343575,1.356763,0.7868836,18.75665
0.2,3000,0.937991,1.342475,0.7950667,19.43113
0.4,5000,0.9288452,1.36168,0.7909957,20.00869
0.8,2000,1.045088,1.487987,0.8905024,22.14441
0.05,3000,0.9583161,1.368386,0.8169093,20.4482
0.2,1000,0.9444082,1.377602,0.7868769,18.17426
0.05,4000,1.078081,1.4915,0.9250156,23.90028
0.95,1000,2.569381,3.435196,2.435569,85.3399
0.4,4000,1.009439,1.477506,0.8682806,22.39834
0.6,2000,0.9734411,1.404534,0.8262417,20.32274
0.4,3000,0.9482175,1.358025,0.8034673,19.97109
0.05,1000,0.9218459,1.308184,0.7743582,18.2074
0.8,5000,1.01295,1.43121,0.8649696,22.05509
0.95,4000,1.371385,1.833469,1.19476,32.50798
0.2,2000,0.9508507,1.370068,0.8028601,19.38675
0.8,4000,1.025498,1.499415,0.8700083,21.69557
0.2,5000,0.9292523,1.38988,0.7961346,20.16654
0.8,1000,1.047477,1.450633,0.8911023,22.37119
0.05,2000,0.9389178,1.342167,0.7869819,18.26756
0.05,5000,0.9227515,1.332299,0.7787515,18.70836
0.8,3000,1.032369,1.445546,0.8723705,21.48921
0.95,5000,1.306516,1.758411,0.9380585,9.717933
0.6,5000,0.9684689,1.398576,0.8344858,21.94268
0.4,1000,0.936335,1.33811,0.7883348,18.95259
0.95,3000,1.301362,1.728824,1.09083,25.91901
0.6,1000,0.9919517,1.380822,0.8273384,19.38639
0.95,2000,1.1999,1.648186,0.9890911,21.43549
